Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s²),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s²),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s²),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s²)
1.02,0.053167218655194665,2.3510370866092765,39.789650609175624,0.05487716466714113,2.392855785278052,38.19033149307535,0.05878495749149439,2.4558629080809213,34.75252444966298,9.217620079355366e+62,1.4328021635710933e+66,4.441032977739037e+68
1.03,0.0781363964308823,2.64279846852825,18.5626257746191,0.08035681787677287,2.6672327348680414,16.68505842492256,0.08508121279478675,2.6939200147257414,12.85889687930107,-4.275014721137939e+63,-6.6451538347337494e+66,-2.0596944974348723e+69
1.04,0.104961415813564,2.7222054080080897,-2.6812378786511637,0.10750729986151479,2.7272538335618797,-4.680838686154914,0.11266335778600922,2.7153013362227862,-8.582632579892113,1.9826973458016724e+64,3.081937661038827e+67,9.552600586459276e+69
1.05,0.13155687709837208,2.596886848953526,-22.38247393226158,0.134218156032347,2.5821533775566756,-24.33925251488587,0.13938723951924248,2.532393385273916,-27.998957609881856,-9.195497609895027e+64,-1.4293634102016303e+68,-4.4303744112569536e+70
1.06,0.15598634419156424,2.2890065696849056,-39.19358192146255,0.15854591365628296,2.255716794641867,-40.94806406807585,0.16331122549148755,2.172049396362094,-44.06984017248261,4.2647546017365435e+65,6.629205334849553e+68,2.054751190135932e+71
1.07,0.17659495915675433,1.832716423353113,-52.06444734489598,0.1788468828501658,1.7835974892215016,-53.47579701599723,0.18282822744648436,1.672648949378458,-55.8102492242446,-1.977938833180846e+66,-3.074540950044228e+69,-9.529674157194298e+71
1.08,0.19211299885103944,1.270891515503909,-60.30053422494478,0.19387936538429695,1.2099287668763252,-61.25794745303807,0.1967642044790567,1.0804860237997898,-62.62233589148902,9.173428234796444e+66,1.4259329099078796e+70,4.4197414255440345e+72
1.09,0.20172461799075544,0.6514323124392916,-63.59130638797872,0.20286967752064408,0.5835258444166782,-64.02263703889133,0.20443794792248016,0.44579874050144214,-64.31512076818052,-4.2545191068234845e+67,-6.613295111678716e+70,-2.0498197468717225e+73
1.1,0.2050989414866292,0.023432386735457,-62.008678752788185,0.2055394205366556,-0.046015598835441485,-61.88565161153261,0.20568017928908555,-0.18123939338055978,-61.09250600821986,1.9731917410838888e+68,3.0671619913014757e+71,9.506802751810417e+73
1.11,0.20238361060934065,-0.5664985621931641,-55.97751103293602,0.20209445644411908,-0.6320297720324124,-55.317183027861574,0.20081316005486896,-0.754264685270832,-53.512552369834594,-9.151411826632101e+68,-1.4225106428822962e+72,-4.409133959205929e+74
