Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
34.15,-0.001178471055485791,0.00046778170701587744,-0.0011544186588664795,0.0018182609563017875,0.0026769897532731048,0.005423889149320295
34.16,-0.0013143384825074734,0.0003986301627932251,-0.001201266929064537,0.0018036251737903733,0.0027434287405701434,0.005453724878290176
34.17,-0.0014501320394528627,0.0003294984782594115,-0.0012478758969099734,0.001789088896219059,0.0028094274920762306,0.00548309178300379
34.18,-0.0015859600488810435,0.0002602698051633223,-0.001294371028829508,0.0017745238224581251,0.0028748493731689316,0.005511859172927342
34.19,-0.00172191386971357,0.00019084426002356737,-0.0013408609274062847,0.0017598185326233478,0.002939574742724918,0.005539913348534654
34.2,-0.0018580186493361095,0.00012118817322714853,-0.0013873880808157925,0.0017449277388902663,0.0030035502040251603,0.005567206851423687
34.21,-0.0019942525164099597,5.131489741895023e-05,-0.0014339480455772102,0.00172985310298995,0.0030667694223157796,0.005593739281089749
34.22,-0.0021305939211479384,-1.8762531572624203e-05,-0.0014805367792879926,0.0017145959037184622,0.0031292257923578783,0.005619509961688781
34.23,-0.0022670304709555725,-8.904022917498396e-05,-0.0015271594733416096,0.0016991482044600905,0.0031909036059663367,0.005644509108790833
34.24,-0.0024035227684453373,-0.00015948729888358123,-0.0015737943856285708,0.0016835290207242047,0.003251814219537543,0.005668753996123796
34.25,-0.002539972591236828,-0.00023001401086010794,-0.0016203610065555901,0.0016678161543609037,0.0033120278882327286,0.005692320788974131
34.26,-0.002676272907226019,-0.0003005218159999919,-0.0016667700583849101,0.0016520961944534041,0.003371623766816878,0.005715294544244691
34.27,-0.0028124172084808058,-0.00037101267862657794,-0.0017130328278937386,0.0016363551848872337,0.003430580577153218,0.0057376598771697405
34.28,-0.0029485429902532754,-0.0004416325543026165,-0.0017593046656837995,0.0016204351252662157,0.003488733109019939,0.0057592574613538824
34.29,-0.003084874887184452,-0.0005126145248349923,-0.0018058281521366201,0.0016040908051796283,0.0035458290542491446,0.005779840862135041
34.3,-0.0032216584802746075,-0.0005842126040459699,-0.0018528669300117442,0.0015870559718233394,0.003601595174188008,0.005799142703271531
34.31,-0.0033591166118687368,-0.0006566580515607331,-0.0019006620370202244,0.0015690869976425837,0.003655780967148846,0.005816918333620042
34.32,-0.0034974242086270976,-0.0007301341945813056,-0.0019494067383733858,0.0015499880479963642,0.003708183835848076,0.005832970993804602
34.33,-0.0036366536162792196,-0.000804721761445439,-0.0019991918593079325,0.0015296657488424255,0.003758703754834076,0.005847206482876612
34.34,-0.003776672124773322,-0.0008802964055825985,-0.0020499032842576964,0.0015082316877724968,0.0038074457712372993,0.005859735658299435
34.35,-0.003917208344962876,-0.0009565950810089533,-0.0021012882893446656,0.0014859360817251687,0.0038546536721759815,0.005870808102590929
