Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
10.46,7.38E-05,0.001717043,-0.009487103
10.48,9.37E-05,-0.000348865,-0.197103767
10.5,6.14E-05,-0.00217467,0.014523297
10.52,2.49E-05,-0.001276602,0.0752835
10.54,1.44E-05,0.000229162,0.075292915
10.56,2.92E-05,0.001004902,0.002281078
10.58,4.50E-05,0.000341683,-0.06860303
10.6,5.17E-05,0.001002006,0.134635376
10.62,7.95E-05,0.000829211,-0.151914922
10.64,6.33E-05,-0.002576206,-0.188626718
10.66,-4.30E-06,-0.003099242,0.13632313
10.68,-4.33E-05,-0.001021368,0.071464232
10.7,-5.32E-05,-0.000154469,0.015225729
10.72,-4.21E-05,0.001822166,0.182437722
10.74,1.65E-05,0.003331063,-0.031547997
10.76,5.91E-05,4.13E-05,-0.297432241
10.78,2.33E-05,-0.002479753,0.045330827
10.8,-1.40E-05,-0.001098346,0.092809886
10.82,-3.25E-05,-0.00149698,-0.13267325
10.84,-7.04E-05,-0.001358867,0.146484574
10.86,-7.15E-05,0.001079006,0.097302702
10.88,-4.32E-05,0.001118402,-0.093363111
10.9,-1.96E-05,0.002230778,0.204600661
10.92,4.22E-05,0.002770417,-0.15063674
10.94,6.52E-05,-0.000583933,-0.184798199
10.96,3.04E-05,-0.002205561,0.022635398
10.98,-4.14E-06,-0.001000028,0.097917858
11,-3.32E-06,0.001144412,0.116526101
11.02,2.70E-05,0.001096194,-0.121347807
11.04,3.54E-05,0.000273354,0.039063784
11.06,4.31E-05,0.000217251,-0.044674085
11.08,3.89E-05,-0.000611619,-0.038212913
11.1,2.60E-05,-0.0003308,0.066294823
11.12,2.70E-05,0.000150418,-0.018173091
11.14,2.11E-05,-0.001005469,-0.097415607
11.16,-4.10E-06,-0.00079584,0.118378497
11.18,-3.33E-06,0.000524185,0.01362402
11.2,-6.53E-06,-0.001665311,-0.232573551
11.22,-5.64E-05,-0.001825133,0.216591259
11.24,-5.93E-05,0.00105676,0.071598048
11.26,-3.99E-05,7.65E-05,-0.169627791
11.28,-4.15E-05,0.001298752,0.291856824
11.3,1.71E-05,0.003271787,-0.094553417
