time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
16.4, -0.002553680438501998, 4.164284619667707e-05, 0.007016181433857929, -0.011668188922291748, 4.3983943246260384e-05, 0.006118872301362543, -0.013857303060168968
16.42, -0.002616174162983748, 0.00017963283708937732, 0.006642734473975765, -0.025676507065924798, 0.0001627693415548525, 0.005718638174165418, -0.026166109659543357
16.44, -0.002677618970775081, 0.00030735222515570766, 0.006044436224645055, -0.03415331786714612, 0.0002714614056987981, 0.005128194369856435, -0.03287827077135508
16.46, -0.0027379918749551274, 0.00042141028607517954, 0.0053356276087353945, -0.03672754372382, 0.00036739275041860033, 0.004462095675971014, -0.03373159861718733
16.48, -0.0027972703174965795, 0.0005207773295051234, 0.004567729790521761, -0.04006223809754328, 0.0004497731373719043, 0.0037701826772254476, -0.035459701257369414
16.5, -0.0028554321275085313, 0.00060411947769605, 0.003728718680287053, -0.04383887292592754, 0.0005179296886507399, 0.003037714349948142, -0.03778713147036128
16.52, -0.0029124554818456636, 0.0006699260767166056, 0.0027515777072469314, -0.053875224378084625, 0.0005705431020504155, 0.0021944546247586708, -0.046538841048585966
16.54, -0.0029683188695954843, 0.0007141825859859273, 0.0015858084466429966, -0.06270170168230885, 0.000604609283708855, 0.0011864064097344407, -0.054265980453837015
16.56, -0.0030230010617988586, 0.0007333584145823254, 0.00029290700715546905, -0.06658844226644392, 0.0006172819955361256, 7.075375916007682e-05, -0.057299284603599426
16.58, -0.003076481087562012, 0.000725898866272146, -0.0010467982001844756, -0.06738207846755054, 0.0006072211675003306, -0.0010776388776534021, -0.057539979077748465
16.6, -0.003128738217487546, 0.0006914864865749464, -0.00233903589285925, -0.06184169079992689, 0.0005745429684247586, -0.0021710523152515026, -0.05180136468206148
16.62, -0.003179751955095671, 0.000632337430557776, -0.0033936244215044247, -0.043617162064590556, 0.0005219604058575813, -0.0030272661077529817, -0.033820014568086254
16.64, -0.003229502036633849, 0.0005557415097147694, -0.00403831605698893, -0.02085200148386015, 0.0004561198095557834, -0.0034833570840828564, -0.011789083064901229
16.66, -0.0032779684393914725, 0.0004708047882782188, -0.004251843242607691, -0.0005007170780159018, 0.00038537212679050933, -0.0035275474159763877, 0.007370049875548235
16.68, -0.0033251313983565746, 0.0003856677800104618, -0.004086586964459288, 0.017026344892856336, 0.00031735856713710156, -0.0032206396148138743, 0.023320730240703247
16.7, -0.003370971430781406, 0.0003073413096998473, -0.0036279262692349855, 0.028839724629573887, 0.00025827348960107854, -0.0026546897031827343, 0.033274260922410925
16.72, -0.003415469367972427, 0.00024055072924106236, -0.0029938902639627778, 0.03456387589764688, 0.00021208122743829815, -0.0019522025272757009, 0.03697445666829258
16.74, -0.0034586063933950972, 0.00018758569914133617, -0.002356566144616231, 0.02916853603700782, 0.00017993647122562168, -0.0012870529440329969, 0.029540501655977824
16.76, -0.003500364085991669, 0.00014628808345641312, -0.0018266064572505932, 0.02382743269955598, 0.00015961752011537828, -0.0007691417950302928, 0.022250613244292616
16.78, -0.0035407244674564684, 0.00011452144085131244, -0.0013972617593987074, 0.019107037085632637, 0.00014824992926055632, -0.0003893611706056349, 0.015727449198173177
16.8, -0.003579670052102359, 9.039761308046482e-05, -0.0010844499926646557, 0.012174139587772522, 0.00014303975709954533, -0.00016007797492211245, 0.00720087037017908
16.82, -0.0036171838978864166, 7.114344114472621e-05, -0.0009089944911532257, 0.005371410563370464, 0.00014073604063105172, -9.741022413160651e-05, -0.0009340952911284783
16.84, -0.0036532496571444616, 5.403783343433579e-05, -0.0008750569621732824, -0.0019776576653761494, 0.00013804222081476996, -0.00019991157126776849, -0.009316039422487717
16.86, -0.0036878516256119128, 3.614116265779491e-05, -0.0009901229099592399, -0.009528937113219584, 0.00013163032517068542, -0.00046880080985226637, -0.017572884435962062
16.88, -0.0037209747883812268, 1.4432917035966202e-05, -0.0012399254376493146, -0.01545131565578791, 0.0001183200793689145, -0.0008832064062014857, -0.02386767519895984
16.9, -0.003752604861560742, -1.3455854848177672e-05, -0.0015783874641333358, -0.018394886992614233, 9.568232180105882e-05, -0.0013905740707857812, -0.026869091259469652
16.92, -0.0037827283285515345, -4.870258152936724e-05, -0.0019346190263943835, -0.017228269233490533, 6.25893177811786e-05, -0.0019141115488157743, -0.02548465654352955
16.94, -0.0038113324700425706, -9.084061590395302e-05, -0.002257254800966839, -0.015035308223755034, 1.9386964925670196e-05, -0.0023972832652594165, -0.022832515100834616
16.96, -0.0038384053870335532, -0.00013899277356804081, -0.0025306172153142766, -0.012300933210988683, -3.289804572625807e-05, -0.0028198599162620607, -0.01942514999942968
16.98, -0.003863936016422022, -0.00019206530451652408, -0.0026883575390501237, -0.0034730991625960203, -9.253672364494717e-05, -0.0031118303552849476, -0.00977189390285893
17.0, -0.003887914138929436, -0.00024652707513004576, -0.002620447079477202, 0.0102641451198882, -0.00015575190446155752, -0.0031608974728930686, 0.004865182142047009
17.02, -0.003910330379381766, -0.00029688318769561216, -0.002320195375311325, 0.019761025296699444, -0.00021730044618328191, -0.002959138133892993, 0.015310751757960595
17.04, -0.003931176199596207, -0.0003393348901424988, -0.0018380244170023037, 0.028456070534202717, -0.0002727756992936281, -0.0025561192163455495, 0.02499113999678393
17.06, -0.003950443884349412, -0.0003704041643757043, -0.0011628790605858347, 0.03905846510744419, -0.0003181275382676723, -0.001940448813383373, 0.036575900299433806
17.08, -0.003968126521107179, -0.00038585005256593216, -0.00032972306506215735, 0.044257134444923525, -0.0003492100835473814, -0.0011472431681839518, 0.04274466422050832
17.1, -0.003984217974374713, -0.0003835930869781906, 0.00042382509075761243, 0.031097681137053447, -0.00036441371935501903, -0.00041350567698282927, 0.030629084899603976
17.12, -0.003998712855675059, -0.00036889704893562766, 0.0007975518238907331, 0.00627499217625862, -0.0003681322276824595, -3.705574414645293e-05, 0.007015908384033667
17.14, -0.004011606490277003, -0.0003516910140225613, 0.0007803111974891333, -0.007999054816418591, -0.0003683339214385391, -2.6301658959372953e-05, -0.005940499865325669
17.16, -0.004022894881869422, -0.0003376846010360623, 0.0005391855746072883, -0.016113507471765917, -0.0003705016316463263, -0.00021314821459607217, -0.012744155698344245
17.18, -0.004032574676415377, -0.00033012359103826974, 0.00011561568795725519, -0.026243481193237394, -0.00037790534341702517, -0.000556818779429245, -0.02162290078497301
17.2, -0.004040643126415294, -0.0003330599735177721, -0.0004745787074003814, -0.032775958342526265, -0.00039372570054545296, -0.0010431870025559512, -0.027013921527697556
17.22, -0.004047098056765534, -0.000349106739334285, -0.0011133978732789235, -0.03110595824532794, -0.0004198180951485414, -0.0015573459700743892, -0.0244019752241462
17.24, -0.004051937833318467, -0.00037759588844892906, -0.0017190666148317391, -0.029460915909953624, -0.00045568982274846393, -0.0020220474475981364, -0.022068172528228493
17.26, -0.004055161335136045, -0.00041786940392755456, -0.0023372055207511854, -0.03235297468199099, -0.0005007075742045362, -0.0024878860979322907, -0.02451569250518685
17.28, -0.004056767931285093, -0.00047108410927897647, -0.002989428142999363, -0.032869287542826774, -0.0005553897792082243, -0.0029814016296367644, -0.02483586066526048
17.3, -0.004056757462854294, -0.0005374465296475291, -0.0036314507360290004, -0.03133297176013695, -0.0006198873109802676, -0.003463467899880374, -0.023370766359100216
17.32, -0.004055130230685757, -0.0006163421387201365, -0.004094236080778816, -0.01494556271484465, -0.0006927660165793477, -0.003771162376510269, -0.007398681303889244
17.34, -0.004051886989114685, -0.0007012159728786817, -0.00408766322811601, 0.015602847981125344, -0.0007676901015309619, -0.0036223011766827033, 0.022284801286646186
17.36, -0.004047028945805404, -0.0007798486678447769, -0.0035132652516014556, 0.04183694967033001, -0.0008340170515032288, -0.002927288155341096, 0.04721650084751469
17.38, -0.004040557767567573, -0.00084174658294274, -0.002507575906472267, 0.05873198484258884, -0.0008821013049328855, -0.0018302267122414619, 0.06248964346244884
17.4, -0.004032475591839386, -0.0008801517041036675, -0.0013027479578587788, 0.061750810018759976, -0.0009061249517697078, -0.0005679900356649046, 0.06373402419520702
17.42, -0.004022785043341018, -0.0008938565012570911, -0.00013812986587314322, 0.054710999179803585, -0.0009053248546852996, 0.0006186543920389644, 0.054930418575179885
17.44, -0.00401148925523719, -0.0008856768987385933, 0.0008664565489291458, 0.04574764230042531, -0.0008826733301105587, 0.0016111157163814097, 0.04431571385906463
17.46, -0.003998591894007352, -0.0008591982392999253, 0.001737200497249031, 0.04132675253156322, -0.000841983037871499, 0.002438155264505481, 0.03838824095334248
17.48, -0.003984097187109816, -0.000816188878848632, 0.0026428628404628514, 0.04923948178981884, -0.0007851080539243611, 0.0032710546535262928, 0.04490169794873844
17.5, -0.003968009952445077, -0.0007534837256814112, 0.0037312317533276375, 0.059597409496659766, -0.0007101032264910021, 0.004259597828463889, 0.05395261954502106
17.52, -0.003950335628575759, -0.0006669396087155265, 0.004936456994921644, 0.060925114662740865, -0.000614107986910217, 0.005340564084739784, 0.0541440060825682
17.54, -0.003931080304647024, -0.0005560254458845455, 0.006119752433233378, 0.057404429168432664, -0.0004967610294048749, 0.006379475395496072, 0.04974712499306011
17.56, -0.0039102507489715815, -0.0004221495113861914, 0.00720497185700411, 0.05111751320864083, -0.00035967877033540836, 0.007305916819497235, 0.04289701740705576
17.58, -0.003887854435296575, -0.00026782657160438105, 0.008156144806556671, 0.04399978174661546, -0.00020547063540699497, 0.008090416426196982, 0.03555294326291847
17.6, -0.0038638995658531747, -9.590371912392452e-05, 0.008955117394135882, 0.035897477011305655, -3.7084076079233516e-05, 0.00872162161414107, 0.027567575531490363
17.62, -0.0038383950904005673, 9.037812416105429e-05, 0.009552261475198167, 0.023816931094922684, 0.00014208796688597121, 0.009156887461183667, 0.015959009172768823
17.64, -0.0038113507206100146, 0.00028618673988400217, 0.009895383712910554, 0.010495292676315928, 0.0003275842929370784, 0.00935108389357106, 0.0034606340659699697
17.66, -0.0037827769392874307, 0.0004861934726774764, 0.009967121650048493, -0.003321498962521993, 0.0005144533799827189, 0.009293588929044255, -0.009210130518651383
17.68, -0.003752685004098736, 0.0006848716058859419, 0.009758119613414405, -0.017578704700886728, 0.0006976278395381436, 0.008981092380411712, -0.022039524344602768
17.7, -0.0037210869456361273, 0.0008765182572140526, 0.00922060422602299, -0.03617283403825475, 0.0008717142550055369, 0.008371172802731591, -0.03895243342341015
17.72, -0.003687995559839288, 0.0010536957749268615, 0.008312224175706115, -0.05466517099343275, 0.0010302403490393048, 0.007426092833836113, -0.055555563466138214
17.74, -0.003653424394957945, 0.0012090072242422973, 0.00711723185110192, -0.06483406146698682, 0.001167105631219832, 0.006233162294068215, -0.06373749051065136
17.76, -0.0036173877334056232, 0.0013383850489709383, 0.005730528258501697, -0.07383629779303542, 0.001278553437292782, 0.004888221227912597, -0.07075661610491069
17.78, -0.003579900569003894, 0.0014382283545823652, 0.004139468161281821, -0.08526971192895222, 0.0013615326423198513, 0.00337800445928431, -0.08026506075791828
17.8, -0.003540978580247164, 0.0015039637754222111, 0.0022668154923200724, -0.10199555496722258, 0.0014120475825051173, 0.0016238827168004693, -0.0951471134904659
17.82, -0.003500638100326779, 0.001528900974275168, 9.528009592132611e-05, -0.11515798467265206, 0.001424732046987643, -0.00039362462631743105, -0.10660362082132413
17.84, -0.0034588960847360527, 0.0015077749792590642, -0.0022556912478033362, -0.11993914969981417, 0.0013953174365767419, -0.002558906100787043, -0.10992452662563701
17.86, -0.00341577007733338, 0.0014386733243630346, -0.004636275160884725, -0.11811924160832468, 0.0013223497256131948, -0.004728099176701604, -0.10699478096581894
17.88, -0.0033712781757670655, 0.0013223239728236752, -0.0069023333882511735, -0.10848658112832013, 0.0012070755291302684, -0.0067649833093775605, -0.09669363230177619
17.9, -0.00332543899716276, 0.0011625799888329877, -0.008931819357559507, -0.09446201580251329, 0.0010533832100877408, -0.008556944914606271, -0.08250252822109427
17.92, -0.00327827164494304, 0.0009650511985212949, -0.010592612717904668, -0.07161732023200297, 0.0008672408007182359, -0.009982446294002257, -0.06004760971850365
17.94, -0.003229795677590236, 0.000738875480116801, -0.01171818702014506, -0.040940109992036684, 0.0006575613820261768, -0.010886544118619312, -0.030362172743201743
17.96, -0.0031800310800801897, 0.0004963237177154924, -0.012248342790186759, -0.012075467012133021, 0.0004355780835276274, -0.011220784810111769, -0.003061896406043818
17.98, -0.003128998238610026, 0.00024894176850933064, -0.012269875683003525, 0.009922177730456427, 0.00021188124813543234, -0.011082336724545285, 0.016906704962692753
18.0, -0.003076717919119888, 5.528690395351458e-06, -0.011909096580863088, 0.026155732483587085, -5.4593608794260905e-06, -0.010605484952765122, 0.030778472215323927
18.02, -0.0030232112499722686, -0.00022742209472519288, -0.011250769559166521, 0.0396769696860695, -0.00021068365774217748, -0.009880459346035705, 0.04172408845761799
18.04, -0.0029684997090069047, -0.0004445020919713094, -0.010370826441292226, 0.04831734210136002, -0.0003995497498707017, -0.008986236011783407, 0.047698244967612435
18.06, -0.002912605115039395, -0.0006422551523768819, -0.009275618593696617, 0.06120344265820091, -0.0005690540614987416, -0.0079301571703153, 0.05790963917919889
18.08, -0.002855549623722434, -0.0008155268357191741, -0.00783456757836418, 0.08290165887504271, -0.0007148060382339185, -0.006581578561437932, 0.07694822170853799
18.1, -0.002797355727544661, -0.0009556378555114492, -0.0059592351372128, 0.10463158524009536, -0.0008297720839149177, -0.004851231946359374, 0.09608643979931797
18.12, -0.002738046259608169, -0.0010538962412076861, -0.0037699254817541044, 0.11429938030577422, -0.0009070935247864851, -0.0028566166360095508, 0.10337509123566457
