Time(s),Displacement(m),Velocity(m/s),Acceleration(m/s^2)
12.34,2.661780871888926e-07,1.54308301868439e-05,-0.002847908853017964
12.36,1.9160784257809783e-07,-1.3568108535127384e-05,-5.198501917916352e-05
12.38,1.946777635025811e-08,1.8350573278704495e-06,0.0015923016054789469
12.4,1.935525933805641e-07,6.5195918440155344e-06,-0.0011238481538644392
12.42,3.2045155030286976e-07,1.7234141388959173e-05,0.0021953031083588024
12.44,9.097702868274931e-07,3.1976496617187145e-05,-0.000721067585536007
12.46,1.3498946232349035e-06,9.276333082097338e-06,-0.0015489487679729757
12.48,1.430596181438794e-06,9.042055246118636e-06,0.0015255209843751047
12.5,1.6518702974234645e-06,-1.482029382877286e-07,-0.0024445468028157415
12.52,1.3713278423135999e-06,-1.7339494361746842e-05,0.0007254176604698306
12.54,1.2471157774362504e-06,8.79300238719295e-06,0.0018878320144241497
12.56,1.4697941113741036e-06,-3.062574827949426e-06,-0.003073389735938388
12.58,9.607538364593977e-07,-3.949699422192313e-05,-0.0005700522034589824
12.6,3.904764958940643e-07,-8.470906063639175e-07,0.0044350425650149065
12.62,8.195169848873692e-07,2.1699828911574522e-05,-0.0021803506132210644
12.64,8.251199167497807e-07,-2.0755711911576673e-05,-0.002065203469094055
12.66,3.741177603634385e-07,-5.4868649438574476e-06,0.003592088165865979
12.68,5.811061307681274e-07,6.101103789758449e-06,-0.0024332912925043903
12.7,3.294910350950096e-07,-2.561155900544067e-05,-0.000737974987015522
12.72,-8.096842577851208e-08,-2.966051249991679e-06,0.003002525762560421
12.74,2.3781509481736926e-07,2.3724372963761344e-05,-0.0003334833411851191
12.76,7.115469779023109e-07,2.6945869947069738e-05,0.0006556330395159583
12.78,1.2781310649261589e-06,2.453954276427814e-05,-0.0008962657577951203
12.8,1.5953148063016305e-06,7.461133255715654e-06,-0.0008115751930611289
12.82,1.6197896473676049e-06,-3.1352884209238506e-06,-0.00024806697460282197
12.84,1.495230623557248e-06,-9.932606983677607e-06,-0.00043166488167255344
12.86,1.140209816601681e-06,-2.9071258259254287e-05,-0.0014822002458851138
12.88,4.832187954293438e-07,-2.558413419849088e-05,0.0018309126519614558
12.9,3.4334798402005304e-07,1.1878520165973578e-05,0.0019153527844849912
12.92,6.963565652452077e-07,1.0040719006976142e-05,-0.0020991329003847356
12.94,5.699517875552798e-07,-1.8050825663594107e-05,-0.0007100215666722889
12.96,4.5338308522349506e-08,-3.5490154861028454e-05,-0.0010339113530711437
12.98,-6.148141960686807e-07,-1.7703452435886187e-05,0.0028125815955853724
13.0,-6.217708061349273e-07,6.23759740598167e-06,-0.00041847661139858723
13.02,-6.780761999961321e-07,-1.6736237777158196e-05,-0.0018789069069153992
13.04,-1.0147752206540787e-06,1.7566915247783799e-06,0.003728199837109057
13.06,-4.902372399395481e-07,3.7885315686532275e-05,-0.00011533742093366821
13.08,3.621516621538526e-08,4.350603759512143e-06,-0.003238133771768346
13.1,-1.7471601559251057e-07,-7.959547072525203e-06,0.002007118688564612
13.12,-1.6325667495632653e-07,-2.433191645168107e-06,-0.0014544831458289027
13.14,-5.036379970856563e-07,-3.164598357077424e-05,-0.0014667960467317095
13.16,-1.0577996250143126e-06,-5.164316580432876e-06,0.004114962745765846
13.18,-8.059347987855457e-07,6.958729637522327e-06,-0.002902658123970326
13.2,-1.06340815071711e-06,-2.3511880825076023e-05,-0.00014440292228950873
13.22,-1.3630431440170602e-06,3.5225418780545915e-06,0.002847845192602571
13.24,-9.604371707422568e-07,2.4867360309085625e-05,-0.0007133633494994691
13.26,-5.911062200715654e-07,1.2798555477427134e-05,-0.0004935171336663798
13.28,-4.906384912438163e-07,-5.591780294028094e-06,-0.0013455164434791429
13.3,-7.247188619213747e-07,-1.0473330578786158e-05,0.0008573614150033373
13.32,-7.641814271177268e-07,6.453662228086145e-06,0.0008353378656838929
13.34,-5.972462580559724e-07,3.7795722462519242e-06,-0.001102746863867315
13.36,-6.237345988792862e-07,-5.049269773277517e-07,0.0006742969415093477
13.38,-5.150051746270883e-07,1.0576298177391693e-05,0.00043382557396259695
13.4,-1.5588909937689992e-07,2.83765591931189e-05,0.0013462005276101236
13.42,5.198572726498162e-07,3.114683214166837e-05,-0.0010691732327551776
13.44,8.19865238653951e-07,-6.600737055164722e-06,-0.0027055836869281326
13.46,4.177504998434359e-07,-2.00598998419665e-05,0.0013596674082479564
13.48,2.1851828803767548e-07,-3.3617061694106333e-06,0.00031015195900763095
13.5,2.5808240121057617e-08,-2.5284614438747725e-05,-0.0025024427859413395
13.52,-6.244376130298418e-07,-2.1943221235726062e-05,0.002836582106243507
13.54,-5.833430783794214e-07,2.168480160658012e-05,0.0015262201779871112
13.56,-1.822382054423418e-07,1.533925947530578e-06,-0.0035413077438920656
13.58,-5.761696973214642e-07,-2.6744498238008874e-05,0.0007134653253381218
13.6,-9.803929870465136e-07,-1.4279150236120866e-05,0.0005330694748506802
13.62,-1.1702040835324073e-06,-5.244058749149133e-06,0.0003704396738464931
13.64,-1.1510184990086844e-06,9.661558438391794e-06,0.0011201220449075999
13.66,-8.627211821472041e-07,1.2720260203362443e-05,-0.0008142518684105353
13.68,-7.147741989500073e-07,4.8940457569599895e-06,3.163042377029028e-05
13.7,-5.087385433741918e-07,2.0800952584749447e-05,0.001559060259008655
13.72,-7.703055472948166e-09,1.79628154256011e-05,-0.0018428739749234901
13.74,1.7677757660974503e-07,1.0175203710436679e-05,0.0010641128034070474
13.76,6.023519866189078e-07,3.284462604643058e-05,0.0012028294301923421
13.78,1.1940325740803198e-06,1.1034541724427235e-05,-0.0033838378623926775
13.8,1.0377683729685852e-06,-1.1670334991687874e-05,0.0011133501907811673
13.82,1.0304579422299248e-06,1.111060346476501e-05,0.0011647436548641215
13.84,1.161371979534426e-06,-1.423153788249604e-05,-0.0036989577895902266
13.86,5.702587295845557e-07,-2.3214333831586196e-05,0.002800678194681213
13.88,5.976920876569944e-07,2.2536889427226082e-05,0.0017744441312000144
13.9,1.128157151817857e-06,1.6751539457677062e-05,-0.002352979128154917
13.92,1.2396551857021741e-06,6.751417448842597e-06,0.0013529669272714703
