Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s^2),Acceleration (in/s²)
5.22,-0.5201134899438891,7.9622654858237905,180.7580094106333,
5.24,-0.3295892119229907,11.090162316266047,132.03167363359233,
5.26,-0.08909702439573398,12.959056436459623,54.85773838576526,
5.28,0.16775739479097249,12.726385482211024,-78.12483381062509,
5.3,0.3950449618230869,10.002371221000416,-194.27659231043572,
5.32,0.5506604876154603,5.55918135823692,-250.04239396591396,
5.34,0.6105167451712303,0.4264443973400862,-263.23130212376935,
5.36,0.5688093496669885,-4.597183947764272,-239.13153238666644,
5.38,0.43661169879144524,-8.622581139790054,-163.40818681591168,
5.4,0.2422991862041701,-10.808670118937462,-55.20071109882909,
5.42,0.026874381832224913,-10.733810318257058,62.68669116686955,
5.44,-0.16719390108585339,-8.67301797355077,143.39254330375934,
5.46,-0.3098921852631318,-5.59681044417707,164.22820963361073,
5.48,-0.3879693937859432,-2.210910408104071,174.36179397368915,
5.5,-0.3977732058013107,1.2305292065673208,169.78216749345006,
5.52,-0.3419751340442145,4.349277969142301,142.09270876404798,
5.54,-0.23109180918888395,6.739054516390753,96.88494596079713,
5.56,-0.08159746626842874,8.21037977565477,50.24757996560456,
5.58,0.08664434884497878,8.613801735685982,-9.905383962483448,
5.6,0.2518666024346223,7.908423623278368,-60.63242727827802,
5.62,0.39371971570725084,6.276887703984487,-102.52116465111004,
5.64,0.4957489442078907,3.926035146079495,-132.56409113938918,
5.66,0.5454711847769806,1.046188910829502,-155.4205323856101,
5.68,0.5318318259407373,-2.4101247944538366,-190.21083814272373,
5.7,0.44621122882701086,-6.151934916918807,-183.97017410377333,
5.72,0.2912378597787538,-9.345401987906897,-135.37653299503557,
5.74,0.08313470545960673,-11.464913444007813,-76.57461261505614,
5.76,-0.15357235240625544,-12.205792342578404,2.486722757997086,
5.78,-0.38761543644805563,-11.198516061601612,98.24090533968196,
5.8,-0.5832013174257744,-8.360072036170266,185.60349720345278,
5.82,-0.707354162308289,-4.0552124520811885,244.8824612054549,
5.84,-0.737054772379765,1.085151444933583,269.1539284960222,
5.86,-0.6637484116162621,6.24548463141671,246.8793901522905,
5.88,-0.4961980459020069,10.509551940008809,179.5273407069193,
5.9,-0.25775095899581485,13.335156750610395,103.03314035323939,
5.92,0.021132371478554745,14.553176296826566,18.76881426837764,
5.94,0.3065702499748633,13.990611552804289,-75.02528867060522,
5.96,0.5603687333266756,11.389236782376939,-185.11218837212982,
5.98,0.7420042679706857,6.774316682024076,-276.3798216631564,
6.0,0.8195259582697987,0.9778523478872181,-303.2666117505294,
6.02,0.7823329630045229,-4.697151874414794,-264.2338104796717,
6.04,0.6429783013050351,-9.23831429553399,-189.88243163224791,
6.06,0.4271973065784097,-12.339785177128547,-120.26465652720799,
6.08,0.16630152829868322,-13.7497926508441,-20.736090844347217,
6.1,-0.10062725314033835,-12.943085493058053,101.40680662295185,
6.12,-0.3286468141970835,-9.858870612616462,207.01468142120726,
6.14,-0.47836317171794196,-5.112765139469381,267.5958658935008,
6.16,-0.5247426633756712,0.47481597369645634,291.16224542308294,
6.18,-0.46079785191854383,5.919665172016282,253.32267440889962,
6.2,-0.30572559065610083,9.587560954228017,113.46690381227398,
6.22,-0.1039886917961361,10.586128931768455,-13.610106058230215,
6.24,0.09672791982097716,9.485532229942867,-96.44956412432853,
6.26,0.2606873713876011,6.910412926719526,-161.0623661980056,
6.28,0.3636454355210354,3.385393486623901,-191.43957781155692,
6.3,0.393404475202862,-0.40948951844124215,-188.04872269495738,
6.32,0.35034405246486344,-3.8965527553586123,-160.65760099677962,
6.34,0.24490267930047313,-6.64758456108042,-114.44557957540107,
6.36,0.09619005148322951,-8.223678220643944,-43.16378638095131,
6.38,-0.06813130869329201,-8.208457797008206,44.68582874452498,
6.4,-0.21508731108241655,-6.487142441904248,127.44570676587087,
6.42,-0.31575792847271245,-3.5799192971253415,163.27660771201977,
6.44,-0.3559226626400135,-0.4365541196047622,151.05991004003818,
6.46,-0.33466064617077546,2.5627557665285656,148.8710785732946,
6.48,-0.2569266958251119,5.21063926803779,115.91727157762779,
6.5,-0.1362574179245317,6.856288522020231,48.64765382061631,
6.52,0.0057751097413684905,7.346964244569788,0.41991843433947196,
6.54,0.14554463340344706,6.6299881216380685,-72.11753072751148,
6.56,0.256468315084082,4.462380046425428,-144.64327679375256,
6.58,0.3127168889970988,1.1624773448762507,-185.3469933611652,
6.6,0.2995409596261049,-2.4800702819756433,-178.9077693240242,
6.62,0.2190615091002083,-5.567874770614015,-129.872679539813,
6.64,0.08875921677281298,-7.462354462125516,-59.575289611337126,
6.66,-0.06382018104769012,-7.795585319924796,26.25220383140914,
6.68,-0.20807166816828426,-6.62956339213462,90.34998894760844,
6.7,-0.31800606581713164,-4.363876372750118,136.21871299084177,
6.72,-0.3757544905759024,-1.4109661031269556,159.0723139714745,
6.74,-0.37283250424268755,1.7031647364484388,152.3407699860649,
6.76,-0.3118313392629702,4.396951761523297,117.03793252142094,
6.78,-0.20476017731837798,6.310164432935923,74.28333461984164,
6.8,-0.06981272024532942,7.184581274368933,13.158349523459307,
6.82,0.07113230014110951,6.9099207642749585,-40.624400532856725,
6.84,0.19644445695690865,5.621294917304957,-88.2381841641434,
6.86,0.286591245809622,3.3933839679663746,-134.55291076971483,
6.88,0.3277545745696397,0.7229489080353964,-132.490595223383,
6.9,0.31733695390155087,-1.7647109748442786,-116.2753930645845,
6.92,0.2615026798405266,-3.8187164312581467,-89.12515257680232,
6.94,0.171178653331591,-5.213686219635415,-50.37182626092445,
6.96,0.06287206058573468,-5.616973054950217,10.043142729444256,
6.98,-0.04156915506457084,-4.827148510080334,68.939311757544,
7.0,-0.1192097964535933,-2.936915628821912,120.08397636829818,
7.02,-0.1536787610381593,-0.509980829634689,122.60950355042408,
7.04,-0.14356892210485805,1.5209647229648144,80.48505170952626,
7.06,-0.10139992422213175,2.6959350653078165,37.01198252477394,
7.08,-0.04542472032216705,2.901585324688653,-16.446956586690288,
7.1,0.006266428328168093,2.267529540344861,-46.95862184768892,
7.12,0.04052742840760049,1.1585704675983788,-63.93728542695929,
7.14,0.050890071650236374,-0.12230614333479095,-64.15037566635768,
7.16,0.03692123594913353,-1.2745774267754932,-51.07675267771255,
7.18,0.0033720432630586546,-2.080341841831994,-29.49968882793756,
7.2,-0.04071110738400347,-2.3279732228742187,4.736550723715119,
7.22,-0.08384765784005939,-1.9856818227313733,29.49258929056942,
7.24,-0.1166793461879336,-1.2974870120560482,39.32689177696309,
7.26,-0.13659249208775862,-0.693827577926453,21.039051635996437,
7.28,-0.14887935423286414,-0.5348586365840989,-5.142157501761034,
7.3,-0.16123249558039773,-0.7004554981692608,-11.417528656755152,
7.32,-0.17730363576484207,-0.9066585202751725,-9.202773553836014,
7.34,-0.1945139268975854,-0.8143705929991607,18.431566281437192,
7.36,-0.20417912025397583,-0.15214874263988265,47.790618754490616,
7.38,-0.19668681238973473,0.9013795290639925,57.5622084158969,
7.4,-0.16540619058910316,2.2266826509991646,74.96810377762031,
7.42,-0.10579839255172345,3.7340971527388067,75.7733463963439,
7.44,-0.018674129384394483,4.978329163994089,48.64985472918431,
7.46,0.08661816236913378,5.550900011358737,8.607230007280478,
7.48,0.1944783953055383,5.235123282281714,-40.18490291498267,
7.5,0.2878828332677817,4.105320513942625,-72.7953739189262,
7.52,0.351894726892079,2.2958688484871073,-108.14979262662558,
7.54,0.3699485724959017,-0.4904842881048399,-170.48552103256912,
7.56,0.32424022370158745,-4.080350591326583,-188.5011092896052,
7.58,0.21111767932773948,-7.231903846058214,-126.65421618355782,
7.6,0.05057482513406745,-8.822381573308988,-32.393556541519644,
7.62,-0.12423567580208719,-8.658668520306476,48.76486184177086,
7.64,-0.2815277945744064,-7.070543356925446,110.04765449633209,
7.66,-0.3952301094959166,-4.299688135225571,167.0378676736554,
7.68,-0.4432869227527956,-0.5059931904623278,212.3316268026689,
7.7,-0.41391592641023167,3.4430928247187182,182.5769747154357,
7.72,-0.31615632258716536,6.332867557587914,106.40049857148381,
7.74,-0.17507830245170916,7.774934455957706,37.80619126549544,
7.76,-0.017138881484636336,8.019007640749578,-13.398872786308353,
7.78,0.13624621498608644,7.319502006322697,-56.551690656379726,
7.8,0.26537870879661585,5.593747374730245,-116.02377250286548,
7.82,0.34944146318397107,2.8125280640052766,-162.09815856963132,
7.84,0.371371365202968,-0.6195378621055854,-181.10843404145487,
7.86,0.3270351140855715,-3.814087249634062,-138.3465047113928,
7.88,0.23061484355923154,-5.827939802999936,-63.038750625194524,
7.9,0.10587578317443425,-6.645966235479793,-18.763892622791175,
7.92,-0.027842577152176456,-6.725869797181276,10.773536452642858,
7.94,-0.15500725950406327,-5.990598438007407,62.75359946474411,
7.96,-0.2562434939424361,-4.133025005829879,123.00374375300872,
7.98,-0.3117806713773882,-1.4206927376653278,148.22948306344637,
8.0,-0.31073777833035116,1.5249820423690306,146.33799493998947,
8.02,-0.254537462393356,4.095049551330485,110.6687559561559,
8.04,-0.15612947656479959,5.745749031525158,54.401192063311385,
8.06,-0.03381447828255816,6.485750796698986,19.59898445407144,
8.08,0.0960575560472743,6.501452636284261,-18.02880049554396,
8.1,0.21480859356981602,5.37365111596991,-94.75135153589122,
8.12,0.2986016476329553,3.0056542903440198,-142.04833102669778,
8.14,0.33268630432570356,0.4028113789308039,-118.23596011462382,
8.16,0.3203198630318233,-1.63945550831883,-85.99072861033954,
8.18,0.2729136443349483,-3.10116636136867,-60.180356694644445,
8.2,0.20224100182994323,-3.9660978891318366,-26.312796081672204,
8.22,0.11960706583864618,-4.297295709997869,-6.806986004930977,
8.24,0.0313486983141899,-4.528541042447761,-16.31754724005822,
8.26,-0.06097164792844848,-4.703493581816078,-1.177706696773491,
8.28,-0.15038698152796065,-4.238039778135139,47.72308706486738,
8.3,-0.22235515661289001,-2.958777730357797,80.20311771286686,
8.32,-0.26268419562660705,-1.0741261710139065,108.26203822152218,
8.34,-0.26011951138060463,1.3305945956141494,132.2100384412834,
8.36,-0.20863451145292838,3.817905397153475,116.52104171264918,
8.38,-0.11366122762795333,5.679422985344029,69.63071710640628,
8.4,0.0072898452543097856,6.4156843028822825,3.9954146474190395,
8.42,0.12977194254933408,5.832525426620148,-62.31130227363258,
8.44,0.22883673950940256,4.0739542693867,-113.54581344971217,
8.46,0.28395077872560465,1.437449652233508,-150.104648265607,
8.48,0.2822029694385093,-1.6122305809430415,-154.86337505204796,
8.5,0.22266130378645377,-4.341935984262513,-118.10716527989916,
